,Name,Race,Class_1,Subclass_1,Class_level_1,Class_2,Subclass_2,Class_level_2,Num_of_classes,Total_lvl,Alignment,Skills,Feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,Spellcaster,Num_of_spells
0,stoic_chaum,Tabaxi,Cleric,Light Domain,20,,,,1,20,NG,Stealth; History; Insight; Medicine; Perception; Persuasion,Observant; Telekinetic; Lucky,208,19,13,18,16,14,20,16,True,38
1,goofy_jepsen,Human,Fighter,Samurai,20,,,,1,20,LN,Athletics; Acrobatics; Animal Handling; Perception; Survival,Great Weapon Master; Polearm Master,174,16,20,17,20,8,10,8,False,0
2,frosty_matsumoto,,Barbarian,Path of the Totem Warrior,20,,,,1,20,CN,Athletics; Acrobatics; Nature; Animal Handling; Perception; Survival; Intimidation,Great Weapon Master; Tough; Durable; Tavern Brawler; Medium Armor Master; Slasher,450,26,25,16,26,8,8,8,False,0
3,inspiring_austin,Human,Monk,Way of the Drunken Master,20,,,,1,20,,Athletics; Acrobatics; Stealth; Insight; Perception; Performance,Lucky,181,20,15,20,18,9,20,11,False,0
4,keen_galileo,Aasimar,Warlock,The Fiend,20,,,,1,20,,Arcana; History; Religion; Deception; Persuasion,,145,12,10,12,10,14,18,20,False,0
5,adoring_khorana,Human,Paladin,Oath of Conquest,20,,,,1,20,LN,Athletics; Religion; Insight; Medicine; Intimidation,Tough,244,22,20,14,18,14,12,20,True,10
6,pedantic_austin,Human,Druid,Circle of the Shepherd,20,,,,1,20,,Arcana; History; Nature; Perception; Performance,War Caster; Resilient; Telekinetic,240,17,10,13,18,11,20,12,False,0
7,happy_mestorf,Human,Paladin,Oath of Devotion,20,,,,1,20,,History; Religion; Insight; Intimidation; Persuasion,,285,16,16,14,18,14,13,14,True,10
8,xenodochial_elion,Human,Rogue,Inquisitive,20,,,,1,20,,Athletics; Stealth; Investigation; Deception,,163,21,13,20,17,20,11,9,False,0
9,practical_sutherland,Human,Paladin,Oath of Devotion,20,,,,1,20,,Athletics; Arcana; Religion; Intimidation; Persuasion,Martial Adept,164,18,20,12,15,10,10,16,True,13
10,trusting_golick,Aasimar,Monk,Way of the Four Elements,20,,,,1,20,,Acrobatics; History; Religion; Insight,,143,16,17,20,15,8,13,12,False,0
11,goofy_kalam,Loxodon,Wizard,Graviturgy,20,,,,1,20,,Stealth; Arcana; History; Deception,Tough; Spell Sniper,222,19,14,11,20,20,10,14,True,24
12,amazing_shockley,Genasi,Bard,College of Glamour,20,,,,1,20,,Nature; Deception; Intimidation; Performance; Persuasion,Tough; Magic Initiate; Alert,240,10,14,11,15,13,12,15,False,0
